location_region,total_conversion
North Dakota,0.5
Thimphu District,0.5
Yuen Long District,0.25
Prahova,0.25
Dar es Salaam Region,0.16666
Calabria,0.14285
Imarat Ra's al Khaymah,0.14285
Jerusalem,0.125
Lucerne,0.125
Tabasco,0.11111
Montana,0.11111
Bremen,0.0909
Banten,0.0909
Bern,0.0909
Nova Scotia,0.08695
Muscat,0.08333
Lower Silesia,0.07692
Alajuela Province,0.07692
Valais,0.06666
Luxembourg,0.0625
Murcia,0.05882
Central Macedonia,0.05882
Brasov,0.05555
Vermont,0.05454
Vilnius,0.05263
Montevideo Department,0.05263
Parish of Saint George,0.05263
Nouvelle-Aquitaine,0.04878
Kentucky,0.04819
New Taipei,0.04545
Aargau,0.04166
Auvergne-Rhone-Alpes,0.04109
Kansas,0.04
Cartago Province,0.04
Taipei City,0.03846
Calabarzon,0.03571
Veracruz,0.03333
Washington,0.03308
Ohio,0.03267
Idaho,0.03225
Oklahoma,0.03181
New Mexico,0.03125
South Carolina,0.031
Colorado,0.03058
Wellington,0.02985
Connecticut,0.0297
Hawaii,0.02941
Queensland,0.02879
Western Australia,0.02857
Utah,0.02851
Missouri,0.02834
New York,0.02824
Departamento de San Salvador,0.02777
Nevada,0.02756
California,0.02752
District of Columbia,0.02747
Florida,0.02746
Massachusetts,0.02714
Minnesota,0.02678
British Columbia,0.02671
Maryland,0.02583
Uusimaa,0.02564
Bourgogne-Franche-Comte,0.02564
Dubai,0.02542
Georgia,0.02462
Alabama,0.02459
Arizona,0.02457
Sonora,0.02439
Brussels Capital,0.02439
Stockholm County,0.0238
Wisconsin,0.02314
Illinois,0.02313
Scotland,0.02298
New Jersey,0.02284
Texas,0.02282
Geneva,0.02272
Mecca Region,0.02272
Louisiana,0.02232
Guatemala,0.02222
North Carolina,0.02216
Oregon,0.02165
Bavaria,0.02142
Auckland,0.02092
Västra Götaland County,0.0204
Wales,0.02
Nebraska,0.0198
Tuscany,0.01923
Ontario,0.01877
Pennsylvania,0.01877
New South Wales,0.01848
North Holland,0.01838
Quebec,0.01808
Île-de-France,0.01804
Australian Capital Territory,0.01785
Arkansas,0.01754
Istanbul,0.01724
Sao Paulo,0.01709
North Rhine-Westphalia,0.01704
Baden-Wurttemberg,0.01694
Victoria,0.01627
México,0.01538
Provence-Alpes-Côte d'Azur,0.01538
Indiana,0.01538
Zurich,0.01526
Virginia,0.0147
Jakarta,0.01449
Michigan,0.01408
,0.01357
Central and Western District,0.01351
England,0.01349
Metro Manila,0.01333
Madrid,0.01293
Lombardy,0.01257
Vienna,0.01234
Leinster,0.01219
Gauteng,0.01204
Rhode Island,0.01204
Alberta,0.01176
Tennessee,0.01154
Tel Aviv,0.01123
Mexico City,0.01113
Valencia,0.01111
Riyadh Region,0.01098
Jalisco,0.01098
New Hampshire,0.01041
South Australia,0.0101
South Holland,0.00909
Free and Hanseatic City of Hamburg,0.00854
Tucuman,0.00684
Oslo County,0.00628
Capital Region,0.00523
Iowa,0.00297
Buenos Aires F.D.,0.00267
Buenos Aires,0.00243
Styria,0
Limburg,0
Leningrad Oblast,0
Munster,0
Alexandria,0
Provincia de Santiago,0
Abu Dhabi,0
Lima region,0
Panama,0
Provincia del Azuay,0
Hebron,0
Vojvodina,0
Northland,0
Balearic Islands,0
Pirkanmaa,0
Connacht,0
Uttarakhand,0
Central Bohemia,0
Haiphong,0
Porto,0
Departamento del Cesar,0
Bahia,0
Baladiyat ad Dawhah,0
Kyiv City,0
Nordland,0
Plaines Wilhems District,0
Trøndelag,0
Halland County,0
Kaunas,0
Sabaragamuwa Province,0
Grand Port District,0
O'Higgins Region,0
Santarém,0
Aveiro,0
Presov,0
La Paz Department,0
Haute-Normandie,0
Chittagong,0
Port Louis District,0
Rondonia,0
Mato Grosso do Sul,0
Kraj Vysocina,0
Vukovar-Sirmium,0
Michoacán,0
Central Equatoria,0
Baghdad,0
Ilfov,0
Hsinchu County,0
Peloponnese,0
Chiriquí Province,0
North Denmark,0
Lagos,0
Borsod-Abaúj-Zemplén,0
Ile-de-France,0
Antofagasta,0
Jeollabuk-do,0
Hamilton city,0
Chiapas,0
North West,0
Lombardia,0
Chișinău Municipality,0
Gaborone,0
Bagmati Province,0
Colima,0
Vila Real,0
Gorod Bishkek,0
Mohafazat Liban-Nord,0
Zilina,0
South Moravian,0
Casablanca-Settat,0
Bicol,0
Western Cape,0
Eastern,0
Brandenburg,0
Christ Church,0
Glarus,0
Silesia,0
Odisha,0
Neuchâtel,0
Francisco Morazán Department,0
Nara,0
Eskişehir,0
Western Visayas,0
Kalmykiya Republic,0
Nakhon Si Thammarat,0
Karnataka,0
Obcina Skocjan,0
KwaZulu-Natal,0
Valmiera,0
Abruzzo,0
Sicily,0
Nicosia,0
Maranhao,0
Parana,0
Podgorica,0
Rivers State,0
Tochigi,0
Kalmar,0
Emilia-Romagna,0
Rio Grande do Sul,0
Los Lagos Region,0
Provincia de La Altagracia,0
Central Java,0
Omsk Oblast,0
Ibaraki,0
Västernorrland County,0
Utrecht,0
Achara,0
Coahuila,0
Chaco,0
Pays de la Loire,0
Santa Cruz Department,0
Marrakesh-Safi,0
Cortés Department,0
Baja California,0
Sindh,0
Nakhon Pathom,0
Zacatecas,0
Distrito Federal,0
Ulster,0
Maine,0
Lublin,0
Krung Thep,0
Schleswig-Holstein,0
Tyrol,0
Arequipa,0
Nayarit,0
Minsk City,0
San José Department,0
Souss-Massa,0
Isparta,0
Setúbal,0
Ammochostos,0
Dolj,0
Łódź Voivodeship,0
Oyo State,0
Bayern,0
Antioquia,0
Piemonte,0
Brittany,0
Negeri Sembilan,0
Saxony-Anhalt,0
Hidalgo,0
Attica,0
Northern Ireland,0
Chungcheongnam-do,0
Provincia de Veraguas,0
Mecklenburg-Vorpommern,0
The Marches,0
South Kalimantan,0
Sulaymaniyah,0
Taichung City,0
Normandy,0
Bashkortostan Republic,0
Hlavni mesto Praha,0
Mandalay Region,0
Tashkent,0
Belgrade,0
Da Nang,0
Ceara,0
Hajdú-Bihar,0
Manisa,0
Jönköping,0
Almaty,0
Lazio,0
Hesse,0
Catalonia,0
Guangdong,0
Hawke's Bay,0
Mohafazat Mont-Liban,0
Tinh Binh Phuoc,0
Piedmont,0
Vestfold og Telemark,0
Sofia,0
Jelgava,0
Salta,0
Lima,0
Saarland,0
Provincia de La Vega,0
Diyarbakir,0
Selangor,0
San Luis,0
La Pampa,0
Flanders,0
Rajasthan,0
Cidade de Maputo,0
Southern District,0
Agder,0
Male,0
South Karelia Region,0
Southern Governorate,0
Region del Biobio,0
Southern Peninsula,0
Central Visayas,0
Pleven,0
Nonthaburi,0
Sardinia,0
Departamento de Bolivar,0
Trentino-Alto Adige,0
Federal District,0
Sarawak,0
Los Ríos Region,0
Opole Voivodeship,0
Johor,0
Guanajuato,0
Zealand,0
Eastern Province,0
North Brabant,0
Chiayi,0
Cordillera,0
Vorarlberg,0
Kowloon City,0
Gouvernorat de Zaghouan,0
Distrikt Paramaribo,0
Khomas,0
Puebla,0
Santa Fe,0
Campeche,0
Oaxaca,0
Saxony,0
Krasnodar Krai,0
Kakheti,0
Gifu,0
South Dakota,0
Yucatán,0
Tasmania,0
Tarija Department,0
Canelones,0
Red Sea,0
Värmland County,0
Geneve,0
La Libertad,0
Shaanxi,0
Jujuy,0
Western Province,0
Busan,0
Provincia del Chimborazo,0
Ljubljana,0
Dakar,0
Grosuplje,0
Woqooyi Galbeed,0
Port Said,0
Principality of Asturias,0
Bucuresti,0
Limassol District,0
Volyn,0
Ucayali,0
Formosa,0
Perak,0
Harjumaa,0
Skåne County,0
Otago,0
Thurgau,0
Ptuj,0
Chiang Mai,0
Galicia,0
Antalya,0
Santa Catarina,0
Chiayi County,0
Cluj,0
Basel-City,0
Nablus,0
Basel-Landschaft,0
Mures,0
Amazonas,0
Provincia de Panama,0
FCT,0
Piaui,0
Tocantins,0
Telangana,0
Aragon,0
Zug,0
Tinh Bac Ninh,0
Lower Saxony,0
Cantabria,0
Morelos,0
Kanagawa,0
Coquimbo Region,0
Szabolcs-Szatmár-Bereg,0
Santiago del Estero,0
Beheira,0
Chongqing,0
Manipur,0
Gyeonggi-do,0
Ajman,0
Junin,0
East Java,0
Al Khor,0
Land Berlin,0
Guerrero,0
Nidwalden,0
North Sumatra,0
Corrientes,0
Mazovia,0
Haryana,0
Waikato,0
Gelderland,0
Ogun State,0
Faro,0
Banska Bystrica,0
Flacq District,0
Miyagi,0
Navarre,0
Ankara,0
Viana do Castelo,0
Obcina Mezica,0
Maldonado,0
Misiones,0
Northern Mindanao,0
Mestna Obcina Novo mesto,0
Giza,0
Abidjan,0
Obwalden,0
Zulia,0
Beyrouth,0
Nacional,0
Chubut,0
Manawatu-Wanganui,0
Assam,0
Ulsan,0
Saskatchewan,0
Paola,0
Queretaro de Arteaga,0
Lubusz,0
Eastern District,0
South Sulawesi,0
Tulcea,0
Bratislava,0
Riga,0
Chon Buri,0
Ho Chi Minh,0
Adana,0
Pomerania,0
Heredia Province,0
Republika Srpska,0
Chiang Rai,0
Sohag,0
North-West,0
Straza,0
City of Zagreb,0
South Aegean,0
Asuncion,0
Cusco,0
Departamento de La Libertad,0
La Rioja,0
Pembroke Parish,0
Mato Grosso,0
Uttar Pradesh,0
Atacama,0
Budapest,0
Hhohho,0
Alaska,0
Kamnik,0
West Kazakhstan,0
Kingston,0
Brunei-Muara District,0
Ticino,0
Sabah,0
Rabat-Sale-Kenitra,0
Bursa,0
Osjecko-Baranjska Zupanija,0
Quintana Roo,0
Al Asimah,0
Departamento del Alto Parana,0
Salzburg,0
Gunma,0
Madhya Pradesh,0
Northern,0
West Java,0
Muharraq,0
Southern,0
Departamento de Cochabamba,0
Canterbury,0
Castille and León,0
