shipping_region,total_sales
California,28613.290
New York,16843.210
Texas,9231.170
Florida,8089.540
,6770.400
New Jersey,4699.600
England,3392.650
Illinois,3059.600
Massachusetts,3015.840
Georgia,2945.970
Arizona,2284.370
Washington,2072.400
New South Wales,2051.220
Ontario,2001.310
Victoria,1980.200
Maryland,1703.200
Pennsylvania,1679.200
North Carolina,1608.000
Oregon,1525.540
Utah,1435.200
Ohio,1377.200
Virginia,1336.800
Connecticut,1194.400
Colorado,1143.200
South Carolina,1126.400
Queensland,1069.420
Nevada,1066.260
Tennessee,929.200
Michigan,898.800
British Columbia,884.220
Minnesota,848.000
Western Australia,776.220
Puerto Rico,763.200
District Of Columbia,695.200
Oklahoma,682.000
Wisconsin,682.000
Indiana,607.200
Kansas,539.200
Dubai,522.460
Alabama,458.000
Ciudad De México,452.000
Vermont,451.200
Ciudad Autónoma De Buenos Aires,438.400
Missouri,390.000
Louisiana,390.000
West Virginia,380.000
Scotland,359.900
Auckland,351.970
Quebec,289.440
Alberta,289.440
Iowa,282.000
Delaware,282.000
Milano,267.600
Jalisco,260.000
Wellington,260.000
Arkansas,253.440
Nebraska,224.000
Rhode Island,210.400
Brașov,194.880
Madrid,194.880
Castellón,166.460
Metro Manila,166.460
Kowloon,166.460
Tasmania,166.460
Gauteng,164.000
Torino,164.000
Hawaii,156.000
New Mexico,156.000
New Hampshire,142.400
Wales,97.440
South Australia,97.440
Monza E Brianza,96.000
Chiapas,96.000
Idf,96.000
Valencia,96.000
Puebla,96.000
La Spezia,96.000
Nova Scotia,96.000
São Paulo,89.200
Maine,78.000
Montana,78.000
North Dakota,78.000
Barcelona,78.000
Zh,78.000
Kentucky,78.000
Buenos Aires,0.000
Yucatán,0.000
